ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603667.SH,20260403,55106,36811.1,54257,36241.99,41562,27770.8,38165,25504.35,14628,9775.37,17637,11783.58,4169,2777.43,5406,3604.78,3504,2426.78
603668.SH,20260403,62380,8352.13,68979,9234.13,38692,5182.42,43052,5769.33,38535,5164.57,24720,3312.51,5407,726.13,8263,1109.28,2202,312.7
603669.SH,20260403,268106,13280.95,291238,14421.85,134806,6678.65,123575,6123.59,55403,2747.98,47782,2371.11,8079,398.92,3799,189.95,16483,832.49
603676.SH,20260403,16695,1797.65,16028,1725.68,2253,242.71,2688,289.64,243,26.32,475,51.36,0,0.0,0,0.0,-4977,-535.69
603677.SH,20260403,10503,1566.42,11132,1660.61,2744,409.53,2245,334.85,136,20.4,6,0.89,0,0.0,0,0.0,-2839,-424.25
603678.SH,20260403,39459,12463.3,34879,11024.39,22122,6980.52,23645,7471.83,12909,4072.97,12516,3948.16,2894,909.0,6344,1981.41,2557,779.97
603679.SH,20260403,70631,9307.27,63497,8393.06,41763,5525.57,39955,5272.23,16469,2183.34,22993,3045.22,3442,455.66,5860,761.33,-20424,-2704.53
603680.SH,20260403,14489,1839.61,13968,1773.26,3692,467.63,4879,618.4,4405,557.51,3739,473.09,0,0.0,0,0.0,-2334,-296.56
603681.SH,20260403,23563,3972.26,24117,4064.98,12512,2109.43,15084,2542.4,6837,1153.0,6591,1110.06,5055,849.64,2174,366.88,-9768,-1640.29
603682.SH,20260403,48903,3013.68,56257,3465.48,19667,1211.54,15892,978.32,10828,666.93,7249,448.35,0,0.0,0,0.0,-5684,-346.29
603683.SH,20260403,37625,9916.7,41531,10935.18,34180,9013.05,31575,8337.35,26125,6886.29,18125,4782.39,5333,1406.13,12032,3167.26,-1365,-332.82
603685.SH,20260403,15509,4888.67,20556,6479.28,11552,3644.13,10390,3277.54,9602,3024.21,6132,1929.68,415,129.48,0,0.0,-9124,-2872.02
603686.SH,20260403,59044,10634.7,58565,10550.22,26306,4730.87,27115,4875.99,9776,1758.22,8746,1572.21,0,0.0,700,125.37,-9797,-1769.59
603687.SH,20260403,349070,52843.41,363423,55057.27,271700,41159.11,266798,40459.75,154896,23545.27,162506,24693.49,53825,8240.22,36764,5577.49,-109309,-16421.99
